datetime,inlet,outlet,outfall
2026-03-07 14:00,31.0238,37.3266,38.2243
2026-03-07 15:00,31.1173,37.4119,38.2789
2026-03-07 16:00,31.2135,37.5115,38.3767
2026-03-07 17:00,31.335,37.6341,38.4945
2026-03-07 18:00,31.3295,37.5857,38.46
2026-03-07 19:00,31.2684,37.5335,38.4
2026-03-07 20:00,31.2806,37.5484,38.3897
2026-03-07 21:00,31.2577,37.5219,38.378
2026-03-07 22:00,31.2042,37.441,38.2987
2026-03-07 23:00,31.2188,37.4625,38.28
2026-03-08 00:00,31.161,37.4241,38.2845
2026-03-08 01:00,31.075,37.3558,38.2177
2026-03-08 02:00,31.0646,37.313,38.184
2026-03-08 03:00,31.0444,37.2781,38.1686
2026-03-08 04:00,31.0235,37.2336,38.1348
2026-03-08 05:00,31.0333,37.2281,38.112
2026-03-08 06:00,31.0417,37.2414,38.102
2026-03-08 07:00,31.0337,37.2245,38.093
2026-03-08 08:00,31.0567,35.6933,36.7331
2026-03-08 09:00,31.0618,36.9892,37.488
2026-03-08 10:00,31.1121,37.4181,38.278
2026-03-08 11:00,31.2121,37.5058,38.3853
2026-03-08 12:00,31.2545,37.5555,38.4168
2026-03-08 13:00,31.3357,37.6743,38.592
2026-03-08 14:00,31.62,37.9234,38.74
2026-03-08 15:00,31.7071,38.0062,38.8868
2026-03-08 16:00,31.6792,37.9661,38.8515
2026-03-08 17:00,31.586,37.8734,38.778
2026-03-08 18:00,31.5528,37.8232,38.6918
2026-03-08 19:00,31.4404,37.7106,38.6297
2026-03-08 20:00,31.4184,37.6625,38.5483
2026-03-08 21:00,31.3846,37.6108,38.4668
2026-03-08 22:00,31.3145,37.5703,38.3966
2026-03-08 23:00,31.255,37.4761,38.347
2026-03-09 00:00,31.1833,37.4461,38.3013
2026-03-09 01:00,31.125,37.3621,38.2332
2026-03-09 02:00,31.0804,37.325,38.1754
2026-03-09 03:00,31.0408,37.2646,38.127
2026-03-09 04:00,30.9527,37.198,38.0903
2026-03-09 05:00,31.0083,37.2288,38.0727
2026-03-09 06:00,31.0213,37.25,38.097
2026-03-09 07:00,31.015,37.2672,38.0846
2026-03-09 08:00,31.0562,37.2806,38.126
2026-03-09 09:00,31.0472,37.3219,38.222
2026-03-09 10:00,31.1482,37.4521,38.317
2026-03-09 11:00,31.1566,37.4971,38.39
2026-03-09 12:00,31.1488,37.5,38.426
2026-03-09 13:00,31.1844,37.5292,38.436
2026-03-09 14:00,31.2727,37.6121,38.4857
2026-03-09 15:00,31.4398,37.7509,38.617
2026-03-09 16:00,31.5234,37.8505,38.676
2026-03-09 17:00,31.5208,37.8412,38.7023
2026-03-09 18:00,31.4829,37.7753,38.64
2026-03-09 19:00,31.4273,37.709,38.574
2026-03-09 20:00,31.3833,37.6545,38.5286
2026-03-09 21:00,31.3671,37.6089,38.512
2026-03-09 22:00,31.3639,37.5701,38.4713
2026-03-09 23:00,31.3292,37.565,38.451
2026-03-10 00:00,31.3,37.5304,38.388
2026-03-10 01:00,31.2674,37.516,38.3717
2026-03-10 02:00,31.2071,37.4737,38.3023
2026-03-10 03:00,31.1821,37.4761,38.292
2026-03-10 04:00,31.1824,37.4312,38.2524
2026-03-10 05:00,31.175,37.4203,38.2363
2026-03-10 06:00,31.1536,37.4077,38.225
2026-03-10 07:00,31.1119,37.3745,38.169
2026-03-10 08:00,31.0571,37.3234,38.1735
2026-03-10 09:00,31.0333,37.3113,38.1456
2026-03-10 10:00,31.0198,37.305,38.1846
2026-03-10 11:00,31.0516,37.3661,38.257
2026-03-10 12:00,31.0519,37.4306,38.3115
2026-03-10 13:00,31.1088,37.4933,38.3691
2026-03-10 14:00,31.12,37.4889,38.3678
2026-03-10 15:00,31.0904,37.4582,38.3349
2026-03-10 16:00,31.1697,37.4808,38.3812
2026-03-10 17:00,31.2117,37.4984,38.3871
2026-03-10 18:00,31.2727,37.5375,38.415
2026-03-10 19:00,31.2556,37.5208,38.384
2026-03-10 20:00,31.2212,37.4615,38.3606
2026-03-10 21:00,31.2211,37.4466,38.31
2026-03-10 22:00,31.1648,37.3792,38.295
2026-03-10 23:00,31.1661,37.3813,38.25
2026-03-11 00:00,31.1438,37.3505,38.236
2026-03-11 01:00,31.125,37.3267,38.235
2026-03-11 02:00,31.1042,37.3022,38.1803
2026-03-11 03:00,31.0933,37.2667,38.1624
2026-03-11 04:00,31.1036,37.279,38.148
2026-03-11 05:00,31.125,37.2856,38.0547
2026-03-11 06:00,31.1115,37.2779,37.8274
2026-03-11 07:00,31.0792,37.2568,37.8171
2026-03-11 08:00,31.0703,37.304,37.8497
2026-03-11 09:00,31.05,37.3368,37.9226
2026-03-11 10:00,31.0591,37.3625,37.9368
2026-03-11 11:00,31.0802,37.4196,38.0112
2026-03-11 12:00,31.0857,37.45,38.0546
2026-03-11 13:00,31.1368,37.4856,38.053
2026-03-11 14:00,31.12,37.4221,38.0409
2026-03-11 15:00,31.1385,37.425,38.029
2026-03-11 16:00,31.1589,37.4224,38.0532
2026-03-11 17:00,31.275,37.5081,38.085
2026-03-11 18:00,31.27,37.5338,38.124
2026-03-11 19:00,31.2096,37.4375,38.036
2026-03-11 20:00,31.1635,37.3776,37.9792
2026-03-11 21:00,31.1354,37.3344,37.9526
2026-03-11 22:00,31.1575,37.3476,37.937
2026-03-11 23:00,31.2054,37.3651,37.9515
2026-03-12 00:00,31.1968,37.3576,37.9572
2026-03-12 01:00,31.196,37.3669,37.9815
2026-03-12 02:00,31.1985,37.3525,37.968
2026-03-12 03:00,31.1971,37.3312,37.914
2026-03-12 04:00,31.1769,37.3216,37.8825
2026-03-12 05:00,31.1875,37.3716,37.6905
2026-03-12 06:00,31.1708,37.3563,37.692
2026-03-12 07:00,31.1408,37.2898,37.698
2026-03-12 08:00,31.1325,37.337,37.7374
